Industry,Total
Agriculture and related industries,345000
"Mining, quarrying, and oil and gas extraction",47000
Construction,1329000
Manufacturing,1465000
Wholesale trade,250000
Retail trade,3800000
Transportation and utilities,840000
Information,189000
Financial activities,649000
Professional and business services,1835000
Education and health services,2712000
Leisure and hospitality,5344000
Other services,1047000
Government,1343000
"Self-employed, unincorporated, and unpaid family workers",428000
