School year,Elementary schools,Middle or junior high schools,High schools or other schools ending in grade 12,Other
2000–01,4,3,23,0
2001–02,2,1,14,0
2002–03,2,6,16,0
2003–04,5,3,26,0
2004–05,9,1,32,2
2005–06,5,6,39,0
2006–07,9,12,42,1
2007–08,2,2,11,1
2008–09,11,6,31,4
2009–10,1,2,12,0
2010–11,4,2,12,0
2011–12,3,3,9,1
2012–13,7,5,13,1
2013–14,7,3,32,4
2014–15,13,4,24,2
2015–16,7,4,25,2
2016–17,8,9,31,0
2017–18,14,8,64,3
2018–19,35,14,60,4
2019–20,33,11,70,2
2020–21,59,21,57,8
2021–22,82,37,189,11
