Year,Manufacturing,Wholesale trade,Information,Government,All other industries
2012,55015800000,23193000000,57417900000,29328100000,15646000000
2013,56492800000,24931100000,61127000000,29484000000,16042000000
2014,54247000000,26384600000,63771700000,30314900000,15894000000
2015,53411800000,29271900000,66096000000,31419700000,16912000000
2016,52493100000,30986800000,64878600000,32006700000,17526000000
2017,51824100000,33295600000,64318600000,31964000000,17842000000
2018,51184400000,34609200000,60602300000,33803500000,17775000000
2019,54919200000,33373400000,59893300000,37706600000,20506000000
2020,53347900000,34244000000,56716300000,38355000000,20924000000
2021,55804200000,38645000000,54765300000,40803000000,21557000000
