Metro Area,Annual median wage,Cost-of-living adjusted annual median wage
"Abilene, TX",      100060,109071
"Akron, OH",      108370,117718
"Albany, GA",       74810,86594
"Albany, OR",      113270,108272
"Albany-Schenectady-Troy, NY",      116180,111054
"Albuquerque, NM",       90000,96376
"Alexandria, LA",       89730,104133
"Allentown-Bethlehem-Easton, PA-NJ",      112720,114965
"Altoona, PA",       75380,84683
"Amarillo, TX",      106050,115553
"Ames, IA",      130950,148050
"Anchorage, AK",      109890,106620
"Ann Arbor, MI",       99440,101827
"Anniston-Oxford-Jacksonville, AL",       98940,117984
"Appleton, WI",      102990,112229
"Atlanta-Sandy Springs-Roswell, GA",      139780,141545
"Atlantic City-Hammonton, NJ",      133050,134973
"Auburn-Opelika, AL",       95560,107795
"Augusta-Richmond County, GA-SC",      100050,108775
"Austin-Round Rock, TX",      123920,125392
"Bakersfield, CA",      140910,134840
"Baltimore-Columbia-Towson, MD",      128400,125356
"Bangor, ME",       81500,84172
"Barnstable Town, MA",      122820,112609
"Baton Rouge, LA",      103050,111461
"Battle Creek, MI",      122660,137370
"Bay City, MI",      113350,128745
"Beaumont-Port Arthur, TX",      109070,119478
"Beckley, WV",       97700,110686
"Bellingham, WA",       92960,87768
"Bend-Redmond, OR",      114490,106040
"Billings, MT",       85340,93033
"Binghamton, NY",      103540,112585
"Birmingham-Hoover, AL",      133580,146535
"Bismarck, ND",       98490,108133
"Blacksburg-Christiansburg-Radford, VA",       87970,94504
"Bloomington, IL",      135540,146738
"Bloomington, IN",      119620,128686
"Bloomsburg-Berwick, PA",      139150,156099
"Boise City, ID",       95470,101332
"Boston-Cambridge-Nashua, MA-NH",      165980,148257
"Bowling Green, KY",       81500,91272
"Bremerton-Silverdale, WA",      110410,101522
"Bridgeport-Stamford-Norwalk, CT",      174780,159159
"Brownsville-Harlingen, TX",       99090,115994
"Brunswick, GA",      101560,110898
"Buffalo-Cheektowaga-Niagara Falls, NY",      107600,114612
"Burlington, NC",       91340,98970
"Burlington-South Burlington, VT",      103950,97628
"California-Lexington Park, MD",      130440,130688
"Canton-Massillon, OH",       92540,104335
"Cape Coral-Fort Myers, FL",      100040,98411
"Cape Girardeau, MO-IL",       97730,113210
"Carbondale-Marion, IL",       83740,96555
"Carson City, NV",      107240,113480
"Casper, WY",       87820,95306
"Cedar Rapids, IA",      103650,115145
"Chambersburg-Waynesboro, PA",       81990,87323
"Champaign-Urbana, IL",      103730,113602
"Charleston, WV",      139000,156945
"Charleston-North Charleston, SC",       83640,84398
"Charlotte-Concord-Gastonia, NC-SC",      147280,152011
"Charlottesville, VA",      132910,136167
"Chattanooga, TN-GA",      135960,146939
"Cheyenne, WY",       85990,91387
"Chicago-Naperville-Elgin, IL-IN-WI",      136290,128887
"Chico, CA",      137590,131958
"Cincinnati, OH-KY-IN",      115030,123054
"Clarksville, TN-KY",       82800,90918
"Cleveland, TN",      100710,112861
"Cleveland-Elyria, OH",      111590,119895
"Coeur d'Alene, ID",       78830,84127
"College Station-Bryan, TX",      131990,142505
"Colorado Springs, CO",       93370,96421
"Columbia, MO",      101310,115122
"Columbia, SC",       84070,89780
"Columbus, GA-AL",      101360,113237
"Columbus, IN",      110960,123024
"Columbus, OH",      114230,121504
"Corpus Christi, TX",      124970,133509
"Corvallis, OR",      122990,115964
"Crestview-Fort Walton Beach-Destin, FL",       99130,101215
"Cumberland, MD-WV",       80450,92622
"Dallas-Fort Worth-Arlington, TX",      155900,150595
"Dalton, GA",       96400,106449
"Danville, IL",       81850,93223
"Daphne-Fairhope-Foley, AL",       94000,103211
"Davenport-Moline-Rock Island, IA-IL",      103080,115979
"Dayton, OH",       84950,92951
"Decatur, AL",       99650,114313
"Decatur, IL",      102610,117605
"Deltona-Daytona Beach-Ormond Beach, FL",       90810,91932
"Denver-Aurora-Lakewood, CO",      171400,159599
"Des Moines-West Des Moines, IA",      104780,113780
"Detroit-Warren-Dearborn, MI",      106200,110471
"Dothan, AL",      161460,190002
"Dover-Durham, NH-ME",       91910,96676
"Dubuque, IA",       99440,115037
"Duluth, MN-WI",       96310,108686
"Durham-Chapel Hill, NC",      132960,137630
"East Stroudsburg, PA",       80030,84887
"Eau Claire, WI",       80230,88110
"El Centro, CA",      129180,129006
"El Paso, TX",      121940,133690
"Elizabethtown-Fort Knox, KY",       82800,93162
"Elkhart-Goshen, IN",      104080,113734
"Elmira, NY",      100560,108472
"Enid, OK",      105250,123117
"Erie, PA",       86340,95208
"Eugene, OR",      120880,115510
"Evansville, IN-KY",      103320,116311
"Fairbanks, AK",      108570,110079
