month,Foreign-born labor force,Native-born labor force
1/1/07,23494000,128430000
2/1/07,23720000,128159000
3/1/07,23751000,128484000
4/1/07,23772000,128058000
5/1/07,23949000,128400000
6/1/07,23982000,130270000
7/1/07,24303000,130568000
8/1/07,24272000,129222000
9/1/07,24301000,129099000
10/1/07,24265000,129251000
11/1/07,24184000,129851000
12/1/07,23936000,129769000
1/1/08,23881000,128947000
2/1/08,23836000,128667000
3/1/08,23725000,129410000
4/1/08,23899000,129309000
5/1/08,23763000,130240000
6/1/08,24377000,131205000
7/1/08,24615000,131686000
8/1/08,24362000,131026000
9/1/08,24399000,130110000
10/1/08,24096000,130916000
11/1/08,23844000,130780000
12/1/08,23957000,130392000
1/1/09,23541000,129904000
2/1/09,23390000,130414000
3/1/09,23529000,130198000
4/1/09,23782000,130052000
5/1/09,23638000,130699000
6/1/09,24135000,131786000
7/1/09,24289000,131966000
8/1/09,24142000,130755000
9/1/09,24189000,129428000
10/1/09,24200000,129435000
11/1/09,24350000,129189000
12/1/09,23920000,128773000
1/1/10,23924000,129032000
2/1/10,23854000,129341000
3/1/10,23855000,129805000
4/1/10,23916000,129995000
5/1/10,24210000,129656000
6/1/10,24688000,130079000
7/1/10,24586000,130684000
8/1/10,24644000,130034000
9/1/10,24488000,129366000
10/1/10,24530000,129122000
11/1/10,24788000,128909000
12/1/10,24783000,128373000
1/1/11,24517000,128019000
2/1/11,23958000,128676000
3/1/11,24034000,128988000
4/1/11,23915000,128984000
5/1/11,24253000,129196000
6/1/11,24294000,130244000
7/1/11,24516000,130296000
8/1/11,24377000,129966000
9/1/11,24447000,129575000
10/1/11,24849000,129239000
11/1/11,24696000,128987000
12/1/11,24836000,128536000
1/1/12,25156000,128329000
2/1/12,24826000,129288000
3/1/12,24958000,129358000
4/1/12,24460000,129444000
5/1/12,24878000,130120000
6/1/12,25009000,131377000
7/1/12,25180000,131346000
8/1/12,24998000,130257000
9/1/12,25116000,129958000
10/1/12,25268000,130511000
11/1/12,25217000,129737000
12/1/12,25248000,129656000
1/1/13,25240000,129555000
2/1/13,25242000,129486000
3/1/13,25061000,129451000
4/1/13,24982000,129757000
5/1/13,24958000,130776000
6/1/13,25305000,131785000
7/1/13,25382000,131814000
8/1/13,25540000,130431000
9/1/13,25713000,129823000
10/1/13,25507000,129410000
11/1/13,25579000,129467000
12/1/13,25429000,128979000
1/1/14,25139000,129241000
2/1/14,25421000,129606000
3/1/14,25474000,130154000
4/1/14,25127000,129718000
5/1/14,25392000,130448000
6/1/14,25389000,131608000
7/1/14,25411000,132162000
8/1/14,26046000,130388000
9/1/14,26238000,129666000
10/1/14,26364000,130252000
11/1/14,26536000,129760000
12/1/14,26286000,129235000
1/1/15,26073000,129977000
2/1/15,26276000,129937000
3/1/15,26328000,129990000
4/1/15,26103000,130451000
5/1/15,26331000,131388000
6/1/15,26100000,132183000
7/1/15,26079000,132448000
8/1/15,26056000,131334000
9/1/15,26132000,130475000
10/1/15,26267000,131047000
11/1/15,26665000,130675000
12/1/15,26681000,130564000
1/1/16,26681000,130665000
2/1/16,26602000,131677000
3/1/16,27029000,131825000
4/1/16,26596000,131891000
5/1/16,26243000,132557000
6/1/16,26936000,133198000
7/1/16,27132000,133572000
8/1/16,27336000,132464000
9/1/16,27345000,132291000
10/1/16,27060000,132722000
11/1/16,27384000,132068000
12/1/16,27062000,131906000
1/1/17,27144000,131532000
2/1/17,27049000,132432000
3/1/17,27062000,132850000
4/1/17,27402000,132415000
5/1/17,27315000,132664000
6/1/17,27540000,133796000
7/1/17,27536000,134375000
8/1/17,27673000,133190000
9/1/17,27846000,133203000
10/1/17,27374000,133091000
11/1/17,27395000,133071000
12/1/17,27143000,132736000
1/1/18,27754000,132283000
2/1/18,28218000,133276000
3/1/18,28441000,133107000
4/1/18,28266000,133014000
5/1/18,27923000,133842000
6/1/18,28115000,135162000
7/1/18,27858000,135876000
8/1/18,28053000,133856000
9/1/18,28315000,133642000
10/1/18,28410000,134313000
11/1/18,28717000,133948000
12/1/18,28359000,134151000
1/1/19,28686000,133419000
2/1/19,28892000,133901000
3/1/19,28893000,133930000
4/1/19,28439000,133657000
5/1/19,28473000,134182000
6/1/19,28421000,135699000
7/1/19,27982000,136959000
8/1/19,28153000,135866000
9/1/19,28121000,135822000
10/1/19,28067000,136509000
11/1/19,28468000,135918000
12/1/19,28086000,135921000
1/1/20,28189000,135308000
2/1/20,28719000,135516000
3/1/20,27819000,134718000
4/1/20,26285000,129545000
5/1/20,26622000,131353000
6/1/20,26823000,134060000
7/1/20,27349000,134025000
8/1/20,27325000,133641000
9/1/20,26712000,133361000
10/1/20,26919000,134134000
11/1/20,27494000,132973000
12/1/20,27529000,132487000
1/1/21,27549000,131685000
2/1/21,27946000,132062000
3/1/21,27775000,132623000
4/1/21,27644000,132735000
5/1/21,27327000,133280000
6/1/21,27653000,134514000
7/1/21,27712000,135105000
8/1/21,27916000,133872000
9/1/21,28100000,133293000
10/1/21,28564000,133298000
11/1/21,28895000,133204000
12/1/21,28760000,132935000
1/1/22,29255000,133569000
2/1/22,29229000,134495000
3/1/22,29159000,135115000
4/1/22,29458000,133992000
5/1/22,29648000,134509000
6/1/22,29553000,135459000
7/1/22,29644000,135677000
8/1/22,29817000,135153000
9/1/22,30213000,134250000
10/1/22,30459000,134294000
11/1/22,30542000,133730000
12/1/22,30077000,134147000
1/1/23,29945000,135125000
2/1/23,30827000,135351000
3/1/23,30845000,135938000
4/1/23,30912000,135309000
5/1/23,31249000,135453000
6/1/23,30730000,137180000
7/1/23,30870000,137484000
8/1/23,31567000,136482000
9/1/23,31336000,136382000
10/1/23,31237000,136537000
11/1/23,31507000,136470000
12/1/23,31591000,135069000
1/1/24,31244000,135184000
2/1/24,32521000,134764000
3/1/24,32292000,135668000
4/1/24,31726000,135758000
5/1/24,31989000,135587000
6/1/24,32224000,136783000
