Occupation title,Annual median wage,Work experience required
"Airline pilots, copilots, and flight engineers","211,790",Less than 5 years
Chief executives,"189,520",5 years or more
Computer and information systems managers,"164,070",5 years or more
Architectural and engineering managers,"159,920",5 years or more
Natural sciences managers,"144,440",5 years or more
Marketing managers,"140,040",5 years or more
Financial managers,"139,790",5 years or more
Database architects,"134,870",Less than 5 years
Computer hardware engineers,"132,360",None
Petroleum engineers,"131,800",None
