Month,WIC Participation
Oct-19,
Nov-19,
Dec-19,
Jan-20,
Feb-20,
Mar-20,
Apr-20,
May-20,
Jun-20,
Jul-20,
Aug-20,
Sep-20,
Oct-20,"6,379,098"
Nov-20,"6,329,754"
Dec-20,"6,328,391"
Jan-21,"6,312,633"
Feb-21,"6,259,429"
Mar-21,"6,297,128"
Apr-21,"6,237,711"
May-21,"6,168,573"
Jun-21,"6,149,613"
Jul-21,"6,134,404"
Aug-21,"6,157,201"
Sep-21,"6,173,577"
Oct-21,"6,208,146"
Nov-21,"6,200,121"
Dec-21,"6,164,312"
Jan-22,"6,170,519"
Feb-22,"6,186,635"
Mar-22,"6,287,154"
Apr-22,"6,251,271"
May-22,"6,282,848"
Jun-22,"6,309,008"
Jul-22,"6,286,755"
Aug-22,"6,385,060"
Sep-22,"6,390,451"
Oct-22,"6,399,789"
Nov-22,"6,396,718"
Dec-22,"6,378,883"
Jan-23,"6,455,259"
Feb-23,"6,491,327"
Mar-23,"6,621,312"
Apr-23,"6,612,619"
May-23,"6,696,740"
Jun-23,"6,732,416"
Jul-23,"6,727,452"
Aug-23,"6,719,964"
Sep-23,"6,673,496"
Oct-23,"6,626,470"
