State,"Homeless people per 10,000"
Hawaii,80.46905361
"Washington, DC",79.97152011
New York,79.5374377
Oregon,53.54169851
Vermont,53.32362878
California,47.44560173
Massachusetts,41.14251186
Washington,39.64976917
Alaska,36.29077477
Colorado,31.41422071
Nevada,30.92915705
Rhode Island,21.95435077
New Mexico,21.73917125
Illinois,20.32390156
Arizona,19.4358397
Maine,19.23115247
Montana,17.65689177
New Hampshire,15.93292416
Minnesota,15.8825482
South Dakota,14.47004279
Idaho,13.73887838
Nebraska,13.56293927
New Jersey,13.43248094
Florida,13.41849713
Oklahoma,13.34914622
Delaware,12.90976379
Missouri,11.70769323
Tennessee,11.45584726
Kentucky,11.40055776
Utah,11.0428863
Georgia,10.99198113
North Dakota,10.85908548
Pennsylvania,10.77167078
North Carolina,10.52505408
West Virginia,10.05096671
Ohio,9.895396095
Maryland,9.689903915
Michigan,9.604101747
Kansas,9.402121991
Connecticut,9.278737352
Indiana,9.076762549
Arkansas,9.011272671
Texas,8.94415364
Alabama,8.920644652
Wyoming,8.525947129
Wisconsin,8.470090883
South Carolina,8.38317517
Iowa,8.116642727
Virginia,8.104462562
Louisiana,7.545011245
Mississippi,3.537152847
