State,Share Employed,Abbrev
ALABAMA,1.82,AL
ALASKA,3.24,AK
ARIZONA,0.97,AZ
ARKANSAS,1.08,AR
CALIFORNIA,0.8,CA
COLORADO,1.28,CO
CONNECTICUT,0.29,CT
DELAWARE,0.82,DE
DISTRICT OF COLUMBIA,43.26,DC
FLORIDA,0.89,FL
GEORGIA,1.56,GA
HAWAII,3.74,HI
IDAHO,1.08,ID
ILLINOIS,0.73,IL
INDIANA,0.75,IN
IOWA,0.59,IA
KANSAS,1.21,KS
KENTUCKY,1.19,KY
LOUISIANA,0.97,LA
MAINE,1.84,ME
MARYLAND,4.6,MD
MASSACHUSETTS,0.7,MA
MICHIGAN,0.62,MI
MINNESOTA,0.6,MN
MISSISSIPPI,1.64,MS
MISSOURI,1.26,MO
MONTANA,1.82,MT
NEBRASKA,1,NE
NEVADA,0.91,NV
NEW HAMPSHIRE,0.68,NH
NEW JERSEY,0.49,NJ
NEW MEXICO,2.41,NM
NEW YORK,0.58,NY
NORTH CAROLINA,1.07,NC
NORTH DAKOTA,1.38,ND
OHIO,1,OH
OKLAHOMA,2.22,OK
OREGON,0.94,OR
PENNSYLVANIA,1.05,PA
RHODE ISLAND,1.52,RI
SOUTH CAROLINA,1.04,SC
SOUTH DAKOTA,1.87,SD
TENNESSEE,0.99,TN
TEXAS,0.9,TX
UTAH,1.92,UT
VERMONT,0.96,VT
VIRGINIA,3.27,VA
WASHINGTON,1.47,WA
WEST VIRGINIA,2.3,WV
WISCONSIN,0.59,WI
WYOMING,2.15,WY
