Date,Federal employees
1/1/1939,912
2/1/1939,925
3/1/1939,929
4/1/1939,933
5/1/1939,941
6/1/1939,948
7/1/1939,954
8/1/1939,962
9/1/1939,970
10/1/1939,968
11/1/1939,975
12/1/1939,977
1/1/1940,980
2/1/1940,984
3/1/1940,993
4/1/1940,997
5/1/1940,1007
6/1/1940,1020
7/1/1940,1037
8/1/1940,1051
9/1/1940,1072
10/1/1940,1106
11/1/1940,1139
12/1/1940,1149
1/1/1941,1201
2/1/1941,1225
3/1/1941,1247
4/1/1941,1290
5/1/1941,1335
6/1/1941,1381
7/1/1941,1418
8/1/1941,1472
9/1/1941,1529
10/1/1941,1557
11/1/1941,1601
12/1/1941,1606
1/1/1942,1756
2/1/1942,1834
3/1/1942,1949
4/1/1942,2053
5/1/1942,2134
6/1/1942,2205
7/1/1942,2332
8/1/1942,2583
9/1/1942,2630
10/1/1942,2734
11/1/1942,2825
12/1/1942,2799
1/1/1943,2956
2/1/1943,3027
3/1/1943,3055
4/1/1943,3062
5/1/1943,3082
6/1/1943,3128
7/1/1943,3106
8/1/1943,3025
9/1/1943,3016
10/1/1943,3025
11/1/1943,3050
12/1/1943,3045
1/1/1944,3041
2/1/1944,3030
3/1/1944,3021
4/1/1944,3022
5/1/1944,3028
6/1/1944,3043
7/1/1944,3070
8/1/1944,3095
9/1/1944,3107
10/1/1944,3122
11/1/1944,3144
12/1/1944,3138
1/1/1945,3134
2/1/1945,3134
3/1/1945,3120
4/1/1945,3092
5/1/1945,3065
6/1/1945,3066
7/1/1945,3053
8/1/1945,2992
9/1/1945,2786
10/1/1945,2691
11/1/1945,2652
12/1/1945,2566
1/1/1946,2564
2/1/1946,2527
3/1/1946,2488
4/1/1946,2477
5/1/1946,2432
6/1/1946,2370
7/1/1946,2353
8/1/1946,2319
9/1/1946,2267
10/1/1946,2234
11/1/1946,2177
12/1/1946,2163
1/1/1947,2143
2/1/1947,2110
3/1/1947,2077
4/1/1947,2035
5/1/1947,2002
6/1/1947,1946
7/1/1947,1909
8/1/1947,1896
9/1/1947,1901
10/1/1947,1912
11/1/1947,1916
12/1/1947,1948
1/1/1948,1889
2/1/1948,1884
3/1/1948,1884
4/1/1948,1889
5/1/1948,1901
6/1/1948,1942
7/1/1948,1964
8/1/1948,1981
9/1/1948,1998
10/1/1948,2011
11/1/1948,2029
12/1/1948,2049
1/1/1949,2025
2/1/1949,2008
3/1/1949,2004
4/1/1949,2011
5/1/1949,2027
6/1/1949,2025
7/1/1949,2027
8/1/1949,2011
9/1/1949,1991
10/1/1949,1957
11/1/1949,1943
12/1/1949,1974
1/1/1950,1921
2/1/1950,1903
3/1/1950,2038
4/1/1950,2032
5/1/1950,1951
6/1/1950,1914
7/1/1950,1947
8/1/1950,2019
9/1/1950,2067
10/1/1950,2113
11/1/1950,2147
12/1/1950,2190
1/1/1951,2225
2/1/1951,2273
3/1/1951,2315
4/1/1951,2357
5/1/1951,2403
6/1/1951,2436
7/1/1951,2466
8/1/1951,2473
9/1/1951,2478
10/1/1951,2493
11/1/1951,2505
12/1/1951,2532
1/1/1952,2518
2/1/1952,2513
3/1/1952,2515
4/1/1952,2522
5/1/1952,2533
6/1/1952,2548
7/1/1952,2556
8/1/1952,2547
9/1/1952,2543
10/1/1952,2543
11/1/1952,2534
12/1/1952,2582
1/1/1953,2526
2/1/1953,2509
3/1/1953,2486
4/1/1953,2466
5/1/1953,2446
6/1/1953,2428
7/1/1953,2406
8/1/1953,2388
9/1/1953,2374
10/1/1953,2350
11/1/1953,2339
12/1/1953,2310
1/1/1954,2329
2/1/1954,2313
3/1/1954,2309
4/1/1954,2301
5/1/1954,2295
6/1/1954,2282
7/1/1954,2278
8/1/1954,2277
9/1/1954,2277
10/1/1954,2283
11/1/1954,2295
12/1/1954,2296
1/1/1955,2283
2/1/1955,2281
3/1/1955,2285
4/1/1955,2289
5/1/1955,2293
6/1/1955,2302
7/1/1955,2302
8/1/1955,2306
9/1/1955,2306
10/1/1955,2307
11/1/1955,2298
12/1/1955,2283
1/1/1956,2301
2/1/1956,2302
3/1/1956,2302
4/1/1956,2305
5/1/1956,2312
6/1/1956,2312
7/1/1956,2319
8/1/1956,2322
9/1/1956,2329
10/1/1956,2339
11/1/1956,2333
12/1/1956,2335
1/1/1957,2345
2/1/1957,2346
3/1/1957,2347
4/1/1957,2344
5/1/1957,2340
6/1/1957,2328
7/1/1957,2328
8/1/1957,2323
9/1/1957,2311
10/1/1957,2293
11/1/1957,2274
12/1/1957,2331
1/1/1958,2281
2/1/1958,2282
3/1/1958,2281
4/1/1958,2282
5/1/1958,2285
6/1/1958,2297
7/1/1958,2298
8/1/1958,2301
9/1/1958,2306
10/1/1958,2311
11/1/1958,2297
12/1/1958,2356
1/1/1959,2339
2/1/1959,2336
3/1/1959,2336
4/1/1959,2330
5/1/1959,2331
6/1/1959,2334
7/1/1959,2333
8/1/1959,2329
9/1/1959,2333
10/1/1959,2342
11/1/1959,2353
12/1/1959,2407
1/1/1960,2333
2/1/1960,2334
3/1/1960,2523
4/1/1960,2511
5/1/1960,2387
6/1/1960,2353
7/1/1960,2346
8/1/1960,2349
9/1/1960,2351
10/1/1960,2351
11/1/1960,2340
12/1/1960,2403
1/1/1961,2356
2/1/1961,2360
3/1/1961,2366
4/1/1961,2367
5/1/1961,2378
6/1/1961,2388
7/1/1961,2397
8/1/1961,2406
9/1/1961,2413
10/1/1961,2419
11/1/1961,2418
12/1/1961,2428
1/1/1962,2433
2/1/1962,2439
3/1/1962,2443
4/1/1962,2445
5/1/1962,2454
6/1/1962,2465
7/1/1962,2468
8/1/1962,2470
9/1/1962,2470
10/1/1962,2469
11/1/1962,2477
12/1/1962,2433
1/1/1963,2480
2/1/1963,2484
3/1/1963,2484
4/1/1963,2485
5/1/1963,2482
6/1/1963,2473
7/1/1963,2470
8/1/1963,2469
9/1/1963,2475
10/1/1963,2476
11/1/1963,2470
12/1/1963,2445
1/1/1964,2474
2/1/1964,2473
3/1/1964,2472
4/1/1964,2472
5/1/1964,2473
6/1/1964,2446
7/1/1964,2441
8/1/1964,2452
9/1/1964,2454
10/1/1964,2461
11/1/1964,2478
12/1/1964,2467
1/1/1965,2473
2/1/1965,2471
3/1/1965,2474
4/1/1965,2476
5/1/1965,2479
6/1/1965,2470
7/1/1965,2486
8/1/1965,2499
9/1/1965,2511
10/1/1965,2521
11/1/1965,2533
12/1/1965,2548
1/1/1966,2563
2/1/1966,2590
3/1/1966,2616
4/1/1966,2640
5/1/1966,2663
6/1/1966,2688
7/1/1966,2705
8/1/1966,2721
9/1/1966,2742
10/1/1966,2767
11/1/1966,2791
12/1/1966,2799
1/1/1967,2814
2/1/1967,2823
3/1/1967,2835
4/1/1967,2839
5/1/1967,2848
6/1/1967,2860
7/1/1967,2866
8/1/1967,2872
9/1/1967,2869
10/1/1967,2873
11/1/1967,2872
12/1/1967,2876
1/1/1968,2871
2/1/1968,2865
3/1/1968,2859
4/1/1968,2861
5/1/1968,2861
6/1/1968,2908
7/1/1968,2909
8/1/1968,2883
9/1/1968,2868
10/1/1968,2864
11/1/1968,2873
12/1/1968,2849
1/1/1969,2910
2/1/1969,2903
3/1/1969,2889
4/1/1969,2889
5/1/1969,2883
6/1/1969,2928
7/1/1969,2909
8/1/1969,2899
9/1/1969,2896
10/1/1969,2889
11/1/1969,2876
12/1/1969,2861
