State,Annual median wage
Alabama,      126310
Alaska,      109890
Arizona,      121000
Arkansas,       86340
California,      175680
Colorado,      147280
Connecticut,      146730
Delaware,
District of Columbia,      177880
Florida,      104350
Georgia,      126630
Hawaii,       99280
Idaho,       84020
Illinois,      133440
Indiana,      123010
Iowa,      103130
Kansas,       96620
Kentucky,       82540
Louisiana,      107550
Maine,       85480
Maryland,      131290
Massachusetts,      161530
Michigan,      106190
Minnesota,      137360
Mississippi,       80540
Missouri,      112080
Montana,       86030
Nebraska,      102860
Nevada,      130800
New Hampshire,      104660
New Jersey,      138630
New Mexico,       91020
New York,      172880
North Carolina,      121080
North Dakota,      100890
Ohio,      107370
Oklahoma,       99990
Oregon,      132690
Pennsylvania,      116310
Rhode Island,      151960
South Carolina,       97490
South Dakota,       85980
Tennessee,      117440
Texas,      134160
Utah,      113640
Vermont,       87350
Virginia,      141430
Washington,      131230
West Virginia,      103690
Wisconsin,      104560
Wyoming,       82540
