Year,Yogurt,Cheese,Dry whole milk
1976,8.377036067,8.668755219,100
1977,18.82929855,12.05873664,100
1978,24.42599985,17.94449094,200
1979,24.1894073,20.25574579,200
1980,27.19579929,22.77081216,200
1981,23.74707054,27.38055709,300
1982,31.31731994,39.44730266,300
1983,60.49332964,44.07227183,300
1984,80.60837509,50.44942762,300
1985,100.3142833,57.94853507,300
1986,111.165449,61.96398344,400
1987,124.7806771,68.81523993,400
1988,138.5091602,66.12591057,500
1989,86.53868388,66.68682715,400
1990,97.93940568,72.39738491,500
1991,108.4980562,74.69438702,300
1992,123.8496349,81.08201702,400
1993,147.6503081,82.35313539,300
1994,165.1182836,86.02496244,300
1995,211.9632195,86.86172445,300
1996,198.0469576,89.6453262,386.3529372
1997,192.0513152,91.17934062,284.894301
1998,201.1079243,93.42769107,343.8702957
1999,211.5555833,102.3251209,295.8455033
2000,230.1850898,106.940214,164.8599699
2001,256.8208068,108.813072,-1.075185073
2002,307.8648821,111.8085587,94.27885095
2003,338.6627333,111.9834666,82.62432034
2004,368.9721619,116.8852235,43.15935404
2005,425.6492273,119.3692953,51.75837217
2006,462.4754009,125.3339398,11.3247083
2007,487.1200333,128.9109668,64.556167
2008,495.7241758,125.2321602,-5.037383132
2009,533.065556,125.9899378,152.1915066
2010,582.9190542,129.2624996,105.3455921
2011,593.495784,131.3069297,114.4964367
2012,613.2149267,133.2785544,70.18565327
2013,659.3128646,134.3416844,62.44857402
2014,655.3370008,139.4238866,98.3860399
2015,631.8413177,146.0220954,233.8840021
2016,598.8889874,155.2926679,170.280908
2017,598.614921,158.9007396,249.0304847
2018,591.3436848,166.2052999,259.6737148
2019,578.993584,168.556452,195.6075957
2020,593.2845792,165.3181814,190.8748447
2021,626.1728546,175.1778263,123.9286938
2022,607.7776148,179.1136814,161.2054953
