"State/Union Territory" 2017-18 2018-19 2019-20 2020-21 2021-22 2022-23
"Andaman & Nicobar Islands" 789041 900318 976500 931040 1037052 -
"Andhra Pradesh" 78613542 87372111 92583912 95678770 113383650 131772815
"Arunachal Pradesh" 2247478 2533487 3002365 3054781 3512354 -
Assam 28316489 30933632 34685068 35360542 41261187 49316660
Bihar 46874631 52797582 58185548 56726250 65030243 75139559
Chandigarh 3634435 4013887 4342143 3944204 4563526 -
Chhattisgarh 28273744 32710666 34464813 34775246 40641582 45760826
Delhi 67790004 73838943 79291127 76343541 90464204 104375934
Goa 6935205 7185334 7503209 7570540 8260370 -
Gujarat 132909477 149215571 161714320 161610636 193706646 -
Haryana 63883208 69893976 73219451 74185007 87066453 99415408
"Himachal Pradesh" 13855109 14838329 15916402 15525120 17626947 19540459
"Jammu & Kashmir*" 13970886 15985945 - - - -
"Jammu & Kashmir-U.T." - - 16410322 16765177 19991742 22792730
Jharkhand 26981614 30569520 31030536 29666400 35886259 39372204
Karnataka 133324000 147939143 161113386 162507298 196272542 224136839
Kerala 70158826 78828558 81293463 77172389 93246996 -
"Madhya Pradesh" 72628392 82980473 92785500 96164293 113613719 132282084
Maharashtra 235278150 252885430 265737096 262754190 310802187 -
Manipur 2578923 2738807 2981303 2977609 3659447 -
Meghalaya 2950830 3217582 3477040 3377616 3878470 4269708
Mizoram 1938533 2191208 2498960 2392294 2782350 -
Nagaland 2439296 2652742 2971587 2983164 3191254 -
Odisha 44039532 49861126 53750171 54015044 67088123 77486924
Puducherry 3212880 3417072 3699874 3611588 4423786 -
Punjab 47101361 51250969 53703105 54085261 61422676 67310705
Rajasthan 83252923 91151946 99867879 101944203 121819345 141362006
Sikkim 2597082 2840243 3144100 3301783 3755740 4275617
"Tamil Nadu" 146505091 163020915 174314396 178807437 207128616 236451407
Telangana 75005028 85742715 95009049 94281431 112890724 131339136
Tripura 4371580 4982332 5415112 5350412 6255044 7263562
"Uttar Pradesh" 143992550 158218005 170006180 164531675 197453155 225757506
Uttarakhand 22022213 23031366 23924653 23686007 27215948 30262068
"West Bengal" 97470005 110205366 117909714 115582061 136392586 155499221
