State,Unemployment Rate (%)
Alabama,2.8
Alaska,4.5
Arizona,3.4
Arkansas,3.3
California,5.2
Colorado,3.9
Connecticut,3.6
Delaware,4.1
District of Columbia,5.5
Florida,3.3
Georgia,3.4
Hawaii,2.9
Idaho,3.5
Illinois,5.2
Indiana,4
Iowa,2.8
Kansas,3.2
Kentucky,4.7
Louisiana,3.9
Maine,2.8
Maryland,2.8
Massachusetts,3.5
Michigan,4.4
Minnesota,3.2
Mississippi,2.7
Missouri,3.8
Montana,3.1
Nebraska,2.6
Nevada,5.4
New Hampshire,2.5
New Jersey,4.7
New Mexico,4
New York,4.3
North Carolina,3.7
North Dakota,2.2
Ohio,4.5
Oklahoma,3.5
Oregon,4.1
Pennsylvania,3.4
Rhode Island,4.5
South Carolina,3.9
South Dakota,2
Tennessee,3
Texas,4.1
Utah,3.2
Vermont,2.1
Virginia,2.7
Washington,4.9
West Virginia,4.2
Wisconsin,3
Wyoming,2.9
