Industry,Sum of Number of employer firms (FIRMPDEMP)
Accommodation and food services,8742
Administrative and support and waste management and remediation services,12470
"Agriculture, forestry, fishing and hunting",70
"Arts, entertainment, and recreation",5196
Construction,10044
Educational services,3385
Finance and insurance,5080
Healthcare and social assistance,45015
Industries not classified,677
Information,1893
Management of companies and enterprises,155
Manufacturing,2065
"Mining, quarrying, and oil and gas extraction",31
Other services (except public administration),12468
"Professional, scientific, and technical services",22411
Real estate and rental and leasing,6210
Retail trade,10312
Transportation and warehousing,12154
Utilities,74
Wholesale trade,2818
