State,Infant center-based price: 2023 ($)
Massachusetts,23191
Hawaii,21187
New York,20459
California,20039
Connecticut,19176
Minnesota,17759
Washington,17568
Maryland,16731
Alaska,16626
Illinois,15632
Virginia,15209
New Jersey,14963
Rhode Island,14899
Wisconsin,14771
Nevada,14748
New Hampshire,14281
Vermont,14254
Oregon,14194
Missouri,13705
Delaware,13609
Ohio,13482
Pennsylvania,13183
Arizona,12879
Maine,12737
North Carolina,12076
Michigan,11942
Nebraska,11910
Utah,11113
North Dakota,11099
Iowa,10980
Florida,10847
Montana,10431
Oklahoma,10430
Tennessee,10301
Texas,10078
Georgia,9253
Wyoming,9165
South Carolina,9127
West Virginia,8960
Idaho,8691
Kansas,8684
Kentucky,8336
Alabama,7919
Louisiana,7878
South Dakota,7546
Arkansas,7467
Mississippi,4862
