State,Annualized earthquake losses
California,9614544000
Washington,1191743000
Oregon,744979000
Utah,366714000
Puerto Rico,326809000
Nevada,297403000
Tennessee,284250000
South Carolina,193976000
Missouri,188476000
Illinois,178825000
Hawaii,126956000
Alaska,120717000
Arkansas,116006000
Kentucky,110538000
Indiana,87362000
Georgia,87225000
Arizona,86095000
Mississippi,69937000
Alabama,51361000
New York,45353000
New Mexico,41071000
North Carolina,36133000
Texas,35610000
Ohio,32917000
Montana,32379000
Idaho,26898000
Oklahoma,24532000
New Jersey,24277000
Massachusetts,21642000
Pennsylvania,17360000
Virginia,16495000
US Virgin Islands,15594000
Florida,13047000
Colorado,11919000
Louisiana,11499000
Wyoming,10956000
Michigan,9113000
New Hampshire,6932000
Maine,6851000
Kansas,6528000
Connecticut,6324000
Maryland,6171000
Iowa,3315000
Wisconsin,2929000
West Virginia,2855000
Washington DC,2523000
Vermont,2440000
Delaware,2096000
Rhode Island,1671000
Nebraska,1082000
South Dakota,661000
Minnesota,612000
North Dakota,132000
