Year,Milk production in pounds
1975,13424980640
1976,13981301005
1977,14269117103
1978,14130327853
1979,14350087194
1980,14938283715
1981,15445975490
1982,15764155372
1983,16239156637
1984,15746239576
1985,16637492256
1986,16650521926
1987,16602242346
1988,16872724330
1989,16739984569
1990,17185320068
1991,17182527996
1992,17548987458
1993,17524440491
1994,17869494067
1995,18066102477
1996,17916493947
1997,18159055210
1998,18295285061
1999,18915008729
2000,19473888493
2001,19234119302
2002,19784506513
2003,19817662370
2004,19873969157
2005,20583504477
2006,21147852049
2007,21598306347
2008,22101344669
2009,22011067671
2010,22438603710
2011,22831587857
2012,23341955369
2013,23413851225
2014,23970869608
2015,24257056997
2016,24715771175
2017,25073621748
2018,25312925594
2019,25412974844
2020,25975810043
2021,26319700256
2022,26340408124
2023,26356113529
