Month,Number of unemployed persons per job opening
Dec-08,3.6
Jan-09,4.4
Feb-09,4.5
Mar-09,5.3
Apr-09,6
May-09,5.7
Jun-09,5.9
Jul-09,6.5
Aug-09,6.3
Sep-09,6
Oct-09,6.4
Nov-09,6.1
Dec-09,5.9
Jan-10,5.3
Feb-10,5.7
Mar-10,5.7
Apr-10,4.9
May-10,5
Jun-10,5.2
Jul-10,4.7
Aug-10,4.9
Sep-10,5
Oct-10,4.5
Nov-10,4.7
Dec-10,4.7
Jan-11,4.5
Feb-11,4.3
Mar-11,4.2
Apr-11,4.3
May-11,4.4
Jun-11,4
Jul-11,3.8
Aug-11,4.2
Sep-11,3.7
Oct-11,3.8
Nov-11,3.7
Dec-11,3.5
Jan-12,3.3
Feb-12,3.5
Mar-12,3.2
Apr-12,3.3
May-12,3.3
Jun-12,3.2
Jul-12,3.4
Aug-12,3.3
Sep-12,3.1
Oct-12,3.2
Nov-12,3.1
Dec-12,3.1
Jan-13,3.2
Feb-13,3
Mar-13,2.9
Apr-13,2.9
May-13,2.8
Jun-13,2.8
Jul-13,2.9
Aug-13,2.8
Sep-13,2.7
Oct-13,2.6
Nov-13,2.6
Dec-13,2.5
Jan-14,2.5
Feb-14,2.4
Mar-14,2.4
Apr-14,2.1
May-14,2.1
Jun-14,1.9
Jul-14,2
Aug-14,1.8
Sep-14,1.9
Oct-14,1.8
Nov-14,1.9
Dec-14,1.7
Jan-15,1.7
Feb-15,1.6
Mar-15,1.6
Apr-15,1.5
May-15,1.6
Jun-15,1.6
Jul-15,1.3
Aug-15,1.5
Sep-15,1.4
Oct-15,1.4
Nov-15,1.4
Dec-15,1.4
Jan-16,1.3
Feb-16,1.3
Mar-16,1.3
Apr-16,1.4
May-16,1.3
Jun-16,1.3
Jul-16,1.3
Aug-16,1.4
Sep-16,1.4
Oct-16,1.4
Nov-16,1.3
Dec-16,1.3
Jan-17,1.3
Feb-17,1.2
Mar-17,1.2
Apr-17,1.2
May-17,1.2
Jun-17,1.1
Jul-17,1.1
Aug-17,1.1
Sep-17,1.1
Oct-17,1
Nov-17,1.1
Dec-17,1
Jan-18,1
Feb-18,1
Mar-18,0.9
Apr-18,0.9
May-18,0.9
Jun-18,0.9
Jul-18,0.9
Aug-18,0.9
Sep-18,0.8
Oct-18,0.9
Nov-18,0.8
Dec-18,0.9
Jan-19,0.9
Feb-19,0.9
Mar-19,0.8
Apr-19,0.8
May-19,0.8
Jun-19,0.8
Jul-19,0.9
Aug-19,0.8
Sep-19,0.8
Oct-19,0.8
Nov-19,0.9
Dec-19,0.9
Jan-20,0.8
Feb-20,0.8
Mar-20,1.2
Apr-20,4.9
May-20,3.8
Jun-20,2.9
Jul-20,2.5
Aug-20,2.1
Sep-20,1.9
Oct-20,1.6
Nov-20,1.6
Dec-20,1.6
Jan-21,1.4
Feb-21,1.3
Mar-21,1.2
Apr-21,1
May-21,0.9
Jun-21,0.9
Jul-21,0.8
Aug-21,0.8
Sep-21,0.7
Oct-21,0.6
Nov-21,0.6
Dec-21,0.5
Jan-22,0.6
Feb-22,0.5
Mar-22,0.5
Apr-22,0.5
May-22,0.5
Jun-22,0.5
Jul-22,0.5
Aug-22,0.6
Sep-22,0.5
Oct-22,0.6
Nov-22,0.6
Dec-22,0.5
Jan-23,0.5
Feb-23,0.6
Mar-23,0.6
Apr-23,0.5
May-23,0.6
Jun-23,0.6
Jul-23,0.7
Aug-23,0.7
Sep-23,0.7
Oct-23,0.7
Nov-23,0.7
Dec-23,0.7
