Fiscal Year,Corporation Income Taxes
,
1934,0.6
1935,0.8
1936,0.9
1937,1.2
1938,1.4
1939,1.2
1940,1.2
1941,1.8
1942,3.2
1943,5.2
1944,6.9
1945,7.1
1946,5.2
1947,3.6
1948,3.7
1949,4.0
1950,3.7
1951,4.3
1952,5.9
1953,5.6
1954,5.5
1955,4.4
1956,4.8
1957,4.6
1958,4.2
1959,3.4
1960,4.0
1961,3.8
1962,3.5
1963,3.5
1964,3.6
1965,3.6
1966,3.9
1967,4.1
1968,3.2
1969,3.7
1970,3.1
1971,2.4
1972,2.6
1973,2.7
1974,2.6
1975,2.5
1976,2.3
TQ,1.8
1977,2.7
1978,2.6
1979,2.6
1980,2.3
1981,2.0
1982,1.5
1983,1.0
1984,1.4
1985,1.4
1986,1.4
1987,1.8
1988,1.8
1989,1.9
1990,1.6
1991,1.6
1992,1.6
1993,1.7
1994,2.0
1995,2.1
1996,2.2
1997,2.2
1998,2.1
1999,1.9
2000,2.0
2001,1.4
2002,1.4
2003,1.2
2004,1.6
2005,2.2
2006,2.6
2007,2.6
2008,2.1
2009,1.0
2010,1.3
2011,1.2
2012,1.5
2013,1.6
2014,1.8
2015,1.9
2016,1.6
2017,1.5
2018,1.0
2019,1.1
2020,1.0
2021,1.6
2022,1.7
2023,2.1
2024,2.4
