DW_NAME,Imports of crude oil and petroleum products by barrel (bbl)
 Canada ,1618681000
 Mexico ,332254000
 Saudi Arabia ,160276000
 Iraq ,115263000
 Brazil ,93963000
 Colombia ,83234000
 Nigeria ,58350000
 Ecuador ,51138000
 Venezuela ,48255000
South Korea,45942000
 India ,39508000
 Guyana ,35657000
 United Kingdom ,34531000
 Netherlands ,30735000
 Libya ,29327000
 Algeria ,26130000
 Argentina ,23893000
 Spain ,20263000
 Kuwait ,16829000
 Italy ,16816000
 Angola ,14697000
 Norway ,14447000
 Ghana ,13977000
 Kazakhstan ,13757000
 Trinidad and Tobago ,13676000
THE BAHAMAS,12873000
 Belgium ,12570000
 United Arab Emirates ,11657000
 France ,11482000
 Singapore ,9794000
 Portugal ,9682000
 Qatar ,7586000
 Peru ,7101000
 Malaysia ,5895000
 Germany ,5881000
 Japan ,5549000
 Chile ,5391000
 Taiwan ,5317000
Turkey,5276000
 Finland ,4717000
 China ,4175000
 Sweden ,3914000
 Oman ,3867000
Congo,3472000
 Israel ,2616000
 Equatorial Guinea ,2597000
 Lithuania ,2526000
 Iran ,1729000
 Australia ,1464000
 Cameroon ,1379000
 Marshall Islands ,1250000
 Indonesia ,1236000
 Bulgaria ,1078000
 Chad ,946000
 Greece ,844000
 Tunisia ,755000
 Bahrain ,745000
 Poland ,686000
 Egypt ,615000
 Guatemala ,560000
Côte d'Ivoire,505000
 Liberia ,400000
 Pakistan ,349000
 Malta ,337000
 Vietnam ,285000
 Jamaica ,264000
 Azerbaijan ,212000
 Ireland ,202000
 Denmark ,157000
 Philippines ,136000
 Panama ,95000
 Senegal ,85000
 Croatia ,47000
 Thailand ,15000
 Switzerland ,15000
 Hungary ,15000
 Russia ,10000
 Dominican Republic ,9000
 Romania ,7000
Serbia,6000
 South Africa ,4000
 Belize ,1000
 Hong Kong ,1000
 Suriname ,1000
