Month,Complaints
Apr-17,1954
May-17,7086
Jun-17,6899
Jul-17,8152
Aug-17,8760
Sep-17,16022
Oct-17,8698
Nov-17,7873
Dec-17,7666
Jan-18,9579
Feb-18,9658
Mar-18,9832
Apr-18,10303
May-18,9435
Jun-18,8476
Jul-18,9114
Aug-18,9423
Sep-18,8371
Oct-18,9815
Nov-18,8902
Dec-18,8342
Jan-19,8482
Feb-19,9318
Mar-19,10953
Apr-19,11009
May-19,11865
Jun-19,11703
Jul-19,12960
Aug-19,13459
Sep-19,12053
Oct-19,13158
Nov-19,11810
Dec-19,11277
Jan-20,14813
Feb-20,13558
Mar-20,17185
Apr-20,20771
May-20,23480
Jun-20,23417
Jul-20,25506
Aug-20,25221
Sep-20,25936
Oct-20,29931
Nov-20,28866
Dec-20,34563
Jan-21,28014
Feb-21,18337
Mar-21,22471
Apr-21,23331
May-21,25371
Jun-21,29617
Jul-21,28677
Aug-21,27159
Sep-21,25152
Oct-21,23636
Nov-21,23905
Dec-21,31251
Jan-22,37081
Feb-22,36474
Mar-22,43469
Apr-22,54291
May-22,45886
Jun-22,47178
Jul-22,49089
Aug-22,51819
Sep-22,48972
Oct-22,58868
Nov-22,61620
Dec-22,67972
Jan-23,70358
Feb-23,67775
Mar-23,89760
Apr-23,79568
May-23,86841
Jun-23,85260
Jul-23,86816
Aug-23,97873
Sep-23,92573
Oct-23,94890
Nov-23,92179
Dec-23,101741
Jan-24,119783
Feb-24,133170
Mar-24,148048
Apr-24,158310
May-24,169402
