State Name,State Abbreviation,Backyard Flocks,Birds Affected,Color,Commercial Flocks,Total Flocks
Alabama,AL,3,"470,990","470,990",3,6
Alaska,AK,11,"1,370","1,370",0,11
Arizona,AZ,3,"829,770","829,770",1,4
Arkansas,AR,9,"539,660","539,660",6,15
California,CA,36,"23,035,402","23,035,402",100,136
Colorado,CO,30,"9,735,582","9,735,582",12,42
Connecticut,CT,3,230,230,0,3
Delaware,DE,2,"1,758,440","1,758,440",5,7
District of Columbia,DC,0,0,0,0,0
Florida,FL,43,"15,901","15,901",0,43
Georgia,GA,3,"76,080","76,080",2,5
Hawaii,HI,2,79,79,0,2
Idaho,ID,57,"13,777","13,777",1,58
Illinois,IL,7,"114,010","114,010",3,10
Indiana,IN,7,"234,727","234,727",14,21
Iowa,IA,22,"29,957,524","29,957,524",41,63
Kansas,KS,28,"1,895,062","1,895,062",13,41
Kentucky,KY,2,"285,040","285,040",2,4
Louisiana,LA,2,70,70,0,2
Maine,ME,20,"1,253","1,253",0,20
Maryland,MD,2,"2,354,834","2,354,834",8,10
Massachusetts,MA,6,570,570,0,6
Michigan,MI,29,"7,186,319","7,186,319",16,45
Minnesota,MN,43,"8,843,859","8,843,859",140,183
Mississippi,MS,3,"360,288","360,288",4,7
Missouri,MO,23,"2,250,549","2,250,549",16,39
Montana,MT,28,"164,477","164,477",0,28
Nebraska,NE,16,"7,061,157","7,061,157",10,26
Nevada,NV,3,"1,660","1,660",0,3
New Hampshire,NH,3,440,440,0,3
New Jersey,NJ,5,736,736,0,5
New Mexico,NM,2,"129,260","129,260",3,5
New York,NY,25,"126,872","126,872",2,27
North Carolina,NC,8,"3,850,031","3,850,031",12,20
North Dakota,ND,29,"440,646","440,646",9,38
Ohio,OH,11,"12,680,706","12,680,706",19,30
Oklahoma,OK,10,"244,320","244,320",4,14
Oregon,OR,43,"907,151","907,151",3,46
Pennsylvania,PA,39,"4,746,950","4,746,950",32,71
Puerto Rico,PR,1,240,240,0,1
Rhode Island,RI,1,60,60,0,1
South Carolina,SC,4,920,920,1,5
South Dakota,SD,25,"6,103,740","6,103,740",114,139
Tennessee,TN,8,"456,070","456,070",5,13
Texas,TX,12,"1,896,610","1,896,610",2,14
Utah,UT,12,"4,361,177","4,361,177",26,38
Vermont,VT,4,140,140,0,4
Virginia,VA,8,"37,950","37,950",2,10
Washington,WA,51,"1,859,272","1,859,272",2,53
West Virginia,WV,2,259,259,0,2
Wisconsin,WI,20,"3,685,424","3,685,424",19,39
Wyoming,WY,13,450,450,0,13
