State,Year,Month,Period,Indicator,Number of Live Births,Migrant Encounters
UNITED STATES,2023,January,Monthly,Number of Live Births,299000,209151
UNITED STATES,2023,February,Monthly,Number of Live Births,271000,213911
UNITED STATES,2023,March,Monthly,Number of Live Births,299000,259471
UNITED STATES,2023,April,Monthly,Number of Live Births,279000,276036
UNITED STATES,2023,May,Monthly,Number of Live Births,299000,275166
UNITED STATES,2023,June,Monthly,Number of Live Births,303000,211457
UNITED STATES,2023,July,Monthly,Number of Live Births,312000,245154
UNITED STATES,2023,August,Monthly,Number of Live Births,322000,304073
UNITED STATES,2023,September,Monthly,Number of Live Births,305000,341392
UNITED STATES,2023,October,Monthly,Number of Live Births,309000,278317
UNITED STATES,2023,November,Monthly,Number of Live Births,298000,284624
UNITED STATES,2023,December,Monthly,Number of Live Births,297000,302392
