Country (group),Financial commitments,Humanitarian commitments,Military commitments,Total bilateral commitments,Financial allocated,Humanitarian allocated,Military allocated,Total bilateral allocated
EU members and institutions,119.5931877,11.80895921,71.19468398,202.5968309,52.11813466,10.96733474,50.04719329,113.1326627
EU members,6.456287737,9.244308157,71.19468398,86.89527988,5.736984658,8.402683684,50.04719329,64.18686163
EU institutions,113.1369,2.564651053,0,115.7015511,46.38115,2.564651053,0,48.94580105
European Investment Bank,3.1669,0,0,3.1669,3.1669,0,0,3.1669
EU (Commission and Council),109.97,2.564651053,0,112.5346511,43.21425,2.564651053,0,45.77890105
Anglosaxon countries,64.9199376,5.044298897,89.65768455,159.621921,55.59983719,4.985978366,77.71812482,138.3039404
United States,49.96455914,3.440148411,65.58131694,118.9860245,46.59732022,3.417875869,64.13396832,114.1491644
United Kingdom,6.172655946,0.932984968,20.07696918,27.18261009,3.840893924,0.897047016,10.06797485,14.80591579
Canada,8.78101968,0.483010353,3.117289291,12.38131932,5.159920208,0.482900317,2.634072507,8.276893031
Australia,0,0.15511967,0.857840351,1.012960021,0,0.15511967,0.857840351,1.012960021
New Zealand,0.001702836,0.033035495,0.024268795,0.059007126,0.001702836,0.033035495,0.024268795,0.059007126
Other donor countries,17.01719298,2.822625842,0.14493466,19.98475348,9.653962808,1.631838181,0.14493466,11.43073565
China,0,0.00234543,0,0.00234543,0,0.00234543,0,0.00234543
Japan,14.41606264,2.29675989,0.064185116,16.77700764,9.179944621,1.281678262,0.064185116,10.525808
South Korea,2.597130344,0.436443075,0.014506338,3.048079757,0.470018187,0.303638418,0.014506338,0.788162943
Taiwan,0.004,0.07982428,0,0.08382428,0.004,0.036922904,0,0.040922904
Turkiye,0,0.004541827,0.066243207,0.070785034,0,0.004541827,0.066243207,0.070785034
India,0,0.002711339,0,0.002711339,0,0.002711339,0,0.002711339
Geographic Europe,131.3975132,16.19631503,99.77896686,247.3727951,57.05655926,13.23967477,61.96682901,132.263063
United Kingdom,6.172655946,0.932984968,20.07696918,27.18261009,3.840893924,0.897047016,10.06797485,14.80591579
Switzerland,0.261917128,2.294264974,0,2.556182101,0.215117689,0.719741204,0,0.934858893
Norway,5.358531521,1.142115049,8.486047791,14.98669436,0.871192083,0.643469222,1.83253339,3.347194695
Iceland,0.0112209,0.017990832,0.021265908,0.05047764,0.0112209,0.012082589,0.019127482,0.042430971
