Park Unit,LAT,LON,Visits,Visitor Spending,Jobs,Labor Income,Value Added,Economic Output
Great Smoky Mountains National Park,35.63757905,-83.50796348,13297647,2198538000,33748,1267581000,2000786000,3397905000
Golden Gate National Recreation Area,37.84890954,-122.507884,14953882,1505100000,13150,941065000,1429185000,2012317000
Blue Ridge Parkway,37.34838526,-79.62055009,16757635,1390803000,19159,571979000,971164000,1810286000
Grand Canyon National Park,36.29103391,-112.2678021,4733705,768411000,10060,350177000,582513000,1022191000
Grand Teton National Park,43.81017593,-110.6432214,3417106,737983000,9369,330747000,541797000,936251000
Zion National Park,37.30748447,-112.987666,4623238,676040000,10782,279218000,495371000,967289000
Cape Hatteras National Seashore,35.42757103,-75.48919279,2826169,644036000,10220,349798000,536350000,863670000
Yellowstone National Park,44.46248915,-110.4866891,4501382,623274000,8561,290663000,451782000,828347000
Rocky Mountain National Park,40.35270813,-105.6531399,4115837,568527000,7833,341870000,551120000,888656000
Denali National Park,63.33849043,-150.6217433,498722,559409000,7785,306273000,491620000,840346000
