Year,Real estate and rental and leasing,Manufacturing,Professional scientific and technical services,State and local government,Healthcare and social assistance,Finance and insurance,Retail trade,Other
1997,12.1,16.1,5.8,8.8,6.0,6.7,6.8,37.9
1998,11.8,15.8,6.0,8.8,5.9,7.0,6.9,37.7
1999,12.1,15.5,6.2,8.8,5.9,7.0,6.8,37.7
2000,12.0,15.1,6.4,8.8,5.9,7.3,6.7,38.1
2001,12.6,13.9,6.5,9.1,6.1,7.6,6.7,37.6
2002,12.8,13.4,6.5,9.3,6.4,7.4,6.7,37.2
2003,12.7,13.3,6.5,9.2,6.5,7.4,6.7,37.8
2004,12.4,13.2,6.5,9.1,6.5,7.1,6.5,38.8
2005,12.5,13.0,6.5,8.9,6.4,7.5,6.4,38.6
2006,12.3,13.0,6.6,8.8,6.5,7.6,6.3,39.0
2007,12.7,12.8,6.8,8.9,6.5,7.1,6.0,39.2
2008,13.2,12.2,7.3,9.1,6.9,5.9,5.8,39.6
2009,13.4,11.7,7.1,9.5,7.5,6.7,5.7,38.4
2010,13.3,11.9,7.1,9.4,7.4,6.6,5.7,38.7
2011,13.2,11.9,7.2,9.1,7.4,6.6,5.7,38.9
2012,13.0,11.8,7.3,8.9,7.4,7.2,5.7,38.6
2013,13.1,11.7,7.2,8.9,7.3,6.8,5.8,39.0
2014,12.9,11.4,7.2,8.8,7.2,7.4,5.8,39.3
2015,12.8,11.3,7.4,8.8,7.3,7.6,5.9,38.8
2016,12.9,10.8,7.4,8.7,7.5,7.8,6.0,38.8
2017,12.9,10.8,7.4,8.6,7.5,7.7,6.0,39.1
2018,13.0,10.9,7.6,8.5,7.4,7.6,5.9,39.0
2019,13.0,10.5,7.7,8.4,7.5,7.7,5.9,39.3
2020,13.6,10.1,7.8,8.7,7.6,8.0,6.2,37.8
2021,13.3,10.2,7.9,8.1,7.3,7.8,6.5,38.9
2022,13.4,10.3,7.9,7.7,7.1,7.4,6.3,39.8
2023,13.7,10.2,8.0,7.6,7.4,7.3,6.4,39.4
