DateTime,State,Fuel Type,Supply
24/03/2025 13:10,NSW,Battery,0
24/03/2025 13:10,NSW,Biomass,4.11552
24/03/2025 13:10,NSW,Black coal,5044.09297
24/03/2025 13:10,NSW,Gas,38.183952
24/03/2025 13:10,NSW,Hydro,21.14439
24/03/2025 13:10,NSW,Liquid Fuel,0
24/03/2025 13:10,NSW,Solar,2282.827496
24/03/2025 13:10,NSW,Wind,226.29117
24/03/2025 13:10,QLD,Battery,0
24/03/2025 13:10,QLD,Biomass,0
24/03/2025 13:10,QLD,Black coal,5392.5349
24/03/2025 13:10,QLD,Gas,192.680319
24/03/2025 13:10,QLD,Hydro,78.955
24/03/2025 13:10,QLD,Liquid Fuel,0
24/03/2025 13:10,QLD,Solar,1275.23036
24/03/2025 13:10,QLD,Wind,92.96554
24/03/2025 13:10,SA,Battery,0.10529
24/03/2025 13:10,SA,Gas,82.7923
24/03/2025 13:10,SA,Liquid Fuel,0
24/03/2025 13:10,SA,Solar,10.79122
24/03/2025 13:10,SA,Wind,302.73411
24/03/2025 13:10,TAS,Gas,0
24/03/2025 13:10,TAS,Hydro,466.432605
24/03/2025 13:10,TAS,Wind,89.85879
24/03/2025 13:10,VIC,Battery,0
24/03/2025 13:10,VIC,Brown coal,2622.96875
24/03/2025 13:10,VIC,Gas,0
24/03/2025 13:10,VIC,Hydro,0.02
24/03/2025 13:10,VIC,Solar,1017.39727
24/03/2025 13:10,VIC,Wind,1009.231421
