Month,Total nonfarm job openings
Dec-08,2.30%
Jan-09,2.00%
Feb-09,2.10%
Mar-09,1.90%
Apr-09,1.70%
May-09,1.90%
Jun-09,1.90%
Jul-09,1.70%
Aug-09,1.80%
Sep-09,1.90%
Oct-09,1.80%
Nov-09,1.90%
Dec-09,1.90%
Jan-10,2.10%
Feb-10,2.00%
Mar-10,2.00%
Apr-10,2.40%
May-10,2.20%
Jun-10,2.10%
Jul-10,2.30%
Aug-10,2.20%
Sep-10,2.20%
Oct-10,2.40%
Nov-10,2.40%
Dec-10,2.30%
Jan-11,2.30%
Feb-11,2.40%
Mar-11,2.40%
Apr-11,2.40%
May-11,2.40%
Jun-11,2.60%
Jul-11,2.70%
Aug-11,2.50%
Sep-11,2.80%
Oct-11,2.70%
Nov-11,2.60%
Dec-11,2.80%
Jan-12,2.80%
Feb-12,2.60%
Mar-12,2.90%
Apr-12,2.80%
May-12,2.80%
Jun-12,2.80%
Jul-12,2.70%
Aug-12,2.80%
Sep-12,2.80%
Oct-12,2.70%
Nov-12,2.80%
Dec-12,2.90%
Jan-13,2.80%
Feb-13,2.90%
Mar-13,2.90%
Apr-13,2.90%
May-13,3.00%
Jun-13,3.00%
Jul-13,2.80%
Aug-13,2.90%
Sep-13,2.90%
Oct-13,3.00%
Nov-13,2.90%
Dec-13,2.90%
Jan-14,2.90%
Feb-14,3.10%
Mar-14,3.10%
Apr-14,3.20%
May-14,3.30%
Jun-14,3.50%
Jul-14,3.40%
Aug-14,3.70%
Sep-14,3.40%
Oct-14,3.50%
Nov-14,3.30%
Dec-14,3.50%
Jan-15,3.70%
Feb-15,3.70%
Mar-15,3.60%
Apr-15,3.80%
May-15,3.80%
Jun-15,3.60%
Jul-15,4.10%
Aug-15,3.70%
Sep-15,3.70%
Oct-15,3.90%
Nov-15,3.80%
Dec-15,3.90%
Jan-16,4.00%
Feb-16,3.90%
Mar-16,4.10%
Apr-16,3.90%
May-16,3.90%
Jun-16,3.80%
Jul-16,4.00%
Aug-16,3.80%
Sep-16,3.90%
Oct-16,3.70%
Nov-16,4.00%
Dec-16,3.90%
Jan-17,3.70%
Feb-17,3.90%
Mar-17,3.80%
Apr-17,4.00%
May-17,3.80%
Jun-17,4.10%
Jul-17,4.10%
Aug-17,4.10%
Sep-17,4.10%
Oct-17,4.20%
Nov-17,4.10%
Dec-17,4.10%
Jan-18,4.30%
Feb-18,4.20%
Mar-18,4.40%
Apr-18,4.40%
May-18,4.50%
Jun-18,4.60%
Jul-18,4.60%
Aug-18,4.60%
Sep-18,4.70%
Oct-18,4.70%
Nov-18,4.80%
Dec-18,4.80%
Jan-19,4.80%
Feb-19,4.50%
Mar-19,4.70%
Apr-19,4.60%
May-19,4.60%
Jun-19,4.50%
Jul-19,4.50%
Aug-19,4.50%
Sep-19,4.50%
Oct-19,4.60%
Nov-19,4.40%
Dec-19,4.20%
Jan-20,4.50%
Feb-20,4.40%
Mar-20,3.70%
Apr-20,3.50%
May-20,4.00%
Jun-20,4.30%
Jul-20,4.50%
Aug-20,4.30%
Sep-20,4.40%
Oct-20,4.60%
Nov-20,4.60%
Dec-20,4.60%
Jan-21,4.80%
Feb-21,5.10%
Mar-21,5.50%
Apr-21,6.00%
May-21,6.40%
Jun-21,6.50%
Jul-21,6.90%
Aug-21,6.90%
Sep-21,6.90%
Oct-21,7.10%
Nov-21,7.00%
Dec-21,7.30%
Jan-22,7.10%
Feb-22,7.10%
Mar-22,7.40%
Apr-22,7.20%
May-22,7.00%
Jun-22,6.70%
Jul-22,6.90%
Aug-22,6.20%
Sep-22,6.60%
Oct-22,6.40%
Nov-22,6.50%
Dec-22,6.80%
Jan-23,6.40%
Feb-23,6.00%
Mar-23,5.90%
Apr-23,6.20%
May-23,5.80%
Jun-23,5.50%
Jul-23,5.40%
Aug-23,5.70%
Sep-23,5.60%
Oct-23,5.30%
Nov-23,5.40%
Dec-23,5.40%
