Country,Estimated Score
South Africa,0.8
Mexico,1.0
Colombia,1.2
Costa Rica,1.5
Brazil,2.0
Turkey,2.5
Chile,3.0
Luxembourg,3.2
Italy,3.5
Portugal,3.7
Israel,4.0
Spain,4.2
Slovakia,4.5
Hungary,4.8
France,5.0
Greece,5.2
United Kingdom,5.5
Austria,5.7
Russia,6.0
New Zealand,6.2
United States,6.5
Norway,6.7
Switzerland,7.0
Latvia,7.2
Ireland,7.5
Germany,7.8
Japan,8.0
Lithuania,8.2
Netherlands,8.5
Korea,8.7
Canada,8.9
Czechia,9.0
Belgium,9.2
Denmark,9.3
Poland,9.5
Slovenia,9.6
Estonia,9.7
Sweden,9.8
Australia,9.9
Finland,10.0
