Year,Cottage cheese,Sherbet,Milk
1976,0.953403712,1.162541648,0
1977,0.635806852,0.554143809,-1.214574899
1978,0.260500716,-4.003133114,-2.429149798
1979,-3.357605533,-10.82182794,-3.643724696
1980,-3.916923265,-11.73757082,-5.263157895
1981,-6.937725441,-11.53337645,-6.882591093
1982,-9.330094683,-12.66737054,-9.311740891
1983,-10.89418392,-9.375269835,-9.71659919
1984,-11.01819971,-10.62840805,-9.311740891
1985,-12.26546623,-10.08527963,-8.097165992
1986,-12.15645171,-8.159702543,-8.502024291
1987,-15.17931453,-8.393900029,-9.71659919
1988,-16.56940577,-5.2588317,-9.71659919
1989,-23.07948522,-5.42845769,-9.71659919
1990,-27.50970333,-10.81087394,-10.93117409
1991,-29.58847718,-17.14102059,-11.74089069
1992,-33.23534982,-14.13978229,-12.95546559
1993,-37.36337882,-13.76723427,-14.97975709
1994,-39.52608851,-9.179723811,-15.78947368
1995,-41.86933178,-10.91064328,-17.00404858
1996,-44.23687634,-13.45023435,-17.00404858
1997,-43.62223235,-13.93600194,-18.62348178
1998,-42.53979311,-12.41032143,-19.83805668
1999,-43.81826564,-13.27487193,-20.24291498
2000,-43.27530502,-18.34582615,-20.64777328
2001,-43.32203989,-18.09136573,-22.26720648
2002,-43.41818385,-12.14388962,-22.67206478
2003,-42.29774202,-17.3489713,-23.88663968
2004,-42.14916425,-16.8555563,-25.10121457
2005,-42.23954311,-15.51727568,-25.10121457
2006,-43.29252901,-11.77334863,-25.10121457
2007,-44.14601149,-7.54578485,-25.91093117
2008,-48.94806051,-15.76361993,-26.72064777
2009,-48.18164153,-22.87806752,-26.72064777
2010,-49.41105652,-29.19595676,-28.34008097
2011,-50.82094447,-34.74087782,-29.95951417
2012,-50.81748814,-37.69806048,-31.57894737
2013,-53.28423178,-34.76507351,-33.60323887
2014,-54.3029766,-32.3465963,-36.03238866
2015,-53.74668625,-38.5605601,-37.24696356
2016,-52.99547953,-39.11070625,-38.05668016
2017,-54.76537549,-41.135071,-40.08097166
2018,-53.66983585,-47.81702646,-41.29554656
2019,-54.48586626,-39.62194456,-42.91497976
2020,-55.92146238,-49.69474876,-42.91497976
2021,-57.90724867,-50.10870803,-45.74898785
2022,-58.29155514,-55.69814296,-47.36842105
