Background characteristic,Background characteristic (detail),Total fertility rate,Percentage currently pregnant,Mean number of children ever born to women age 40-49
Residence,Urban,1.63,3.0,2.57
Residence,Rural,2.14,4.1,3.20
Schooling,No schooling,2.82,2.7,3.57
Schooling,<5 years complete,2.30,2.8,2.96
Schooling,5-7 years complete,2.21,3.6,2.84
Schooling,8-9 years complete,2.12,4.1,2.59
Schooling,10-11 years complete,1.88,3.8,2.29
Schooling,12 or more years complete,1.78,4.6,1.97
Religion,Hindu,1.94,3.6,2.92
Religion,Muslim,2.36,4.8,3.64
Religion,Christian,1.88,3.6,2.57
Religion,Sikh,1.61,2.5,2.54
Religion,Buddhist/Neo-Buddhist,1.39,2.7,2.62
Religion,Jain,1.6,2.0,1.96
Religion,Other,2.15,3.7,3.24
Caste/tribe,Scheduled caste,2.08,3.9,3.24
Caste/tribe,Scheduled tribe,2.09,4.0,3.22
Caste/tribe,Other backward class,2.02,3.9,3.01
Caste/tribe,Other,1.78,3.3,2.66
Caste/tribe,Don't know,2.54,4.2,3.26
Wealth quintile,Lowest,2.63,4.7,3.81
Wealth quintile,Second,2.12,3.9,3.35
Wealth quintile,Middle,1.89,3.6,2.94
Wealth quintile,Fourth,1.74,3.6,2.70
Wealth quintile,Highest,1.57,3.1,2.37
Total,Total,1.99,3.99,2.98
