Area Name,Annual median wage ($)
Alabama (01-00000),51030
Alaska (02-00000),90060
Arizona (04-00000),76450
Arkansas (05-00000),44300
California (06-00000),113460
Colorado (08-00000),88400
Connecticut (09-00000),85340
Delaware (10-00000),82410
District of Columbia (11-00000),80040
Florida (12-00000),68240
Georgia (13-00000),53730
Hawaii (15-00000),88230
Idaho (16-00000),63110
Illinois (17-00000),98430
Indiana (18-00000),66320
Iowa (19-00000),69270
Kansas (20-00000),53170
Kentucky (21-00000),50470
Louisiana (22-00000),47800
Maine (23-00000),62280
Maryland (24-00000),75460
Massachusetts (25-00000),75700
Michigan (26-00000),69240
Minnesota (27-00000),84080
Mississippi (28-00000),41080
Missouri (29-00000),56480
Montana (30-00000),63810
Nebraska (31-00000),66000
Nevada (32-00000),80730
New Hampshire (33-00000),63750
New Jersey (34-00000),91850
New Mexico (35-00000),62840
New York (36-00000),85460
North Carolina (37-00000),52380
North Dakota (38-00000),67060
Ohio (39-00000),74300
Oklahoma (40-00000),53850
Oregon (41-00000),83360
Pennsylvania (42-00000),85390
Puerto Rico (72-00000),44860
Rhode Island (44-00000),76060
South Carolina (45-00000),50380
South Dakota (46-00000),55390
Tennessee (47-00000),52000
Texas (48-00000),74010
Utah (49-00000),67540
Vermont (50-00000),65760
Virginia (51-00000),61980
Washington (53-00000),99510
West Virginia (54-00000),50560
Wisconsin (55-00000),77040
Wyoming (56-00000),64100
