Year,"Per capita milk consumption, in cups per day"
1975,1.26
1976,1.26
1977,1.24
1978,1.23
1979,1.21
1980,1.19
1981,1.17
1982,1.14
1983,1.14
1984,1.14
1985,1.16
1986,1.15
1987,1.14
1988,1.14
1989,1.14
1990,1.12
1991,1.11
1992,1.10
1993,1.07
1994,1.06
1995,1.05
1996,1.05
1997,1.03
1998,1.01
1999,1.00
2000,1.00
2001,0.98
2002,0.97
2003,0.96
2004,0.94
2005,0.94
2006,0.94
2007,0.93
2008,0.92
2009,0.92
2010,0.90
2011,0.88
2012,0.86
2013,0.84
2014,0.81
2015,0.79
2016,0.78
2017,0.75
2018,0.74
2019,0.72
2020,0.72
2021,0.68
2022,0.66
