Year,65-69,70-74,75+,All 65+
1987,19.5,10.2,4.2,11.1
1988,20.1,10.9,4.2,11.5
1989,20.8,11.2,4.3,11.8
1990,21,11.3,4.3,11.8
1991,20.6,10.9,4.4,11.5
1992,20.6,11.1,4.5,11.5
1993,20.3,10.9,4.3,11.2
1994,21.9,11.8,5.4,12.4
1995,21.8,12.5,4.7,12.1
1996,21.9,12.5,4.7,12.1
1997,22.5,12.6,4.8,12.2
1998,22.5,12.5,4.7,11.9
1999,23,13.1,5.1,12.3
2000,24.5,13.5,5.3,12.9
2001,24.7,14.1,5.2,13
2002,26.1,14,5.1,13.2
2003,27.4,14.6,5.8,14
2004,27.7,15.3,6.1,14.4
2005,28.3,16.3,6.4,15.1
2006,29,17,6.4,15.4
2007,29.7,17.2,6.8,16
2008,30.7,17.8,7.3,16.8
2009,31.1,18.4,7.3,17.2
2010,31.5,18,7.4,17.4
2011,32.1,18.8,7.5,17.9
2012,32.1,19.5,7.6,18.5
2013,32.2,19.2,7.9,18.7
2014,31.6,18.9,8,18.6
2015,32.1,18.6,8.2,18.9
2016,32.2,19.2,8.4,19.3
2017,32.3,19.7,8.3,19.3
2018,33,19.5,8.7,19.6
2019,34.3,19.8,9.1,20.2
2020,33,18.9,8.9,19.4
2021,32.5,17.8,8.6,18.9
2022,33.3,18.4,8.2,19.2
