Record Date,Total national debt,Debt limit
7/16/2024,3.49402E+13,3.14E+13
7/15/2024,3.49116E+13,3.14E+13
7/12/2024,3.48892E+13,3.14E+13
7/11/2024,3.48889E+13,3.14E+13
7/10/2024,3.48613E+13,3.14E+13
7/9/2024,3.48844E+13,3.14E+13
7/8/2024,3.48574E+13,3.14E+13
7/5/2024,3.48522E+13,3.14E+13
7/3/2024,3.48476E+13,3.14E+13
7/2/2024,3.4866E+13,3.14E+13
7/1/2024,3.48411E+13,3.14E+13
6/28/2024,3.48316E+13,3.14E+13
6/27/2024,3.47228E+13,3.14E+13
6/26/2024,3.47247E+13,3.14E+13
6/25/2024,3.47484E+13,3.14E+13
6/24/2024,3.47486E+13,3.14E+13
6/21/2024,3.47337E+13,3.14E+13
6/20/2024,3.47259E+13,3.14E+13
6/18/2024,3.47341E+13,3.14E+13
6/17/2024,3.47505E+13,3.14E+13
6/14/2024,3.46811E+13,3.14E+13
6/13/2024,3.46836E+13,3.14E+13
6/12/2024,3.46813E+13,3.14E+13
6/11/2024,3.47029E+13,3.14E+13
6/10/2024,3.47094E+13,3.14E+13
6/7/2024,3.46729E+13,3.14E+13
6/6/2024,3.46706E+13,3.14E+13
6/5/2024,3.46599E+13,3.14E+13
6/4/2024,3.46556E+13,3.14E+13
6/3/2024,3.46354E+13,3.14E+13
5/31/2024,3.46671E+13,3.14E+13
5/30/2024,3.46098E+13,3.14E+13
5/29/2024,3.46217E+13,3.14E+13
5/28/2024,3.46062E+13,3.14E+13
5/24/2024,3.4588E+13,3.14E+13
5/23/2024,3.45771E+13,3.14E+13
5/22/2024,3.45683E+13,3.14E+13
5/21/2024,3.45856E+13,3.14E+13
5/20/2024,3.45691E+13,3.14E+13
5/17/2024,3.45609E+13,3.14E+13
5/16/2024,3.45529E+13,3.14E+13
5/15/2024,3.45348E+13,3.14E+13
5/14/2024,3.45725E+13,3.14E+13
5/13/2024,3.45522E+13,3.14E+13
5/10/2024,3.45446E+13,3.14E+13
5/9/2024,3.45449E+13,3.14E+13
5/8/2024,3.45417E+13,3.14E+13
5/7/2024,3.45594E+13,3.14E+13
5/6/2024,3.45608E+13,3.14E+13
5/3/2024,3.45482E+13,3.14E+13
5/2/2024,3.45633E+13,3.14E+13
5/1/2024,3.45583E+13,3.14E+13
