State,Status
Alaska,Decriminalized 
Hawaii,Decriminalized 
Illinois,Decriminalized 
Louisiana,Decriminalized 
Massachusetts,Decriminalized 
Maryland,Decriminalized 
Maine,Decriminalized 
Michigan,Decriminalized 
Minnesota,Decriminalized 
Missouri,Decriminalized 
Mississippi,Decriminalized 
Montana,Decriminalized 
North Carolina,Decriminalized 
North Dakota,Decriminalized 
Nebraska,Decriminalized 
New Hampshire,Decriminalized 
New Jersey,Decriminalized 
New Mexico,Decriminalized 
Nevada,Decriminalized 
New York,Decriminalized 
Ohio,Decriminalized 
Oregon,Decriminalized 
Rhode Island,Decriminalized 
Virginia,Decriminalized 
Vermont,Decriminalized 
Washington,Decriminalized 
Arizona,Decriminalized 
California,Decriminalized 
Colorado,Decriminalized 
Connecticut,Decriminalized 
District of Columbia,Decriminalized 
Delaware,Decriminalized 
Alabama,Criminalized
Arkansas,Criminalized
Florida,Criminalized
Georgia,Criminalized
Iowa,Criminalized
Idaho,Criminalized
Indiana,Criminalized
Kansas,Criminalized
Kentucky,Criminalized
Oklahoma,Criminalized
Pennsylvania,Criminalized
South Carolina,Criminalized
South Dakota,Criminalized
Tennessee,Criminalized
Texas,Criminalized
Utah,Criminalized
Wisconsin,Criminalized
Wyoming,Criminalized
West Virginia,Criminalized
